City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,hadibu,12.65,54.0333,26.06,76,54,8.06,YE,1691511687
135,sungailiat,-1.85,106.1333,26.83,80,33,3.81,ID,1691511687
136,vila velha,-20.3297,-40.2925,25.97,81,20,8.23,BR,1691511687
137,dudinka,69.4058,86.1778,18.68,63,41,2.29,RU,1691511688
138,mana,5.6592,-53.7767,31.09,58,91,2.33,GF,1691511688
139,usogorsk,63.4106,48.6872,19.94,61,89,1.91,RU,1691511688
140,qui nhon,13.7667,109.2333,28.73,68,54,2.89,VN,1691511688
141,tekeli,44.83,78.8239,18.34,55,63,3.48,KZ,1691511688
142,afaahiti,-17.75,-149.2833,21.93,74,38,4.66,PF,1691511689
143,labrador city,52.9463,-66.9114,17.95,52,75,6.17,CA,1691511487
144,sitka,57.0531,-135.33,13.94,94,100,5.66,US,1691511689
145,port mathurin,-19.6833,63.4167,22.95,69,24,9.33,MU,1691511689
146,figuig (centre),32.1089,-1.2286,40.29,8,2,6.07,MA,1691511689
147,puerto ayora,-0.7393,-90.3518,28.98,82,100,3.13,EC,1691511690
148,cooper's town,26.8667,-77.5167,29.92,77,7,3.9,BS,1691511690
149,troitsk,54.0979,61.5773,18.34,83,83,2.68,RU,1691511690
150,sharjah,25.3573,55.4033,37.99,49,0,3.6,AE,1691511676
151,keetmanshoop,-26.5833,18.1333,26.51,11,0,0.51,NA,1691511690
152,niafunke,15.9322,-3.9906,39.76,22,57,2.7,ML,1691511691
153,bredasdorp,-34.5322,20.0403,12.25,77,63,2.67,ZA,1691511691
154,strezhevoy,60.7333,77.5889,16.15,67,91,2.53,RU,1691511691
155,hovd,48.0056,91.6419,20.71,47,100,3.04,MN,1691511691
156,tromso,69.6496,18.957,24.01,60,0,4.63,NO,1691511692
157,palmer,42.1584,-72.3287,27.91,64,75,3.6,US,1691511692
158,nelspruit,-25.4745,30.9703,19.16,34,0,3.09,ZA,1691511569
159,selfoss,63.9331,-20.9971,16.69,68,74,2.16,IS,1691511692
160,yellowknife,62.456,-114.3525,18.29,63,20,7.72,CA,1691511693
161,oranjemund,-28.55,16.4333,14.32,83,0,10.91,NA,1691511693
162,dalnegorsk,44.5604,135.5701,16.17,86,100,0.89,RU,1691511693
163,la alianza,18.3974,-66.6024,32.32,82,31,2.24,PR,1691511693
164,mukalla,14.5425,49.1242,32.58,54,35,4.8,YE,1691511694
165,poronaysk,49.2167,143.1167,12.43,91,87,0.43,RU,1691511694
166,mulayjah,27.271,48.4242,38.45,12,0,1.56,SA,1691511694
167,coruripe,-10.1256,-36.1756,26.39,73,58,4.3,BR,1691511694
168,merizo village,13.2658,144.6691,26.66,96,100,6.09,GU,1691511695
169,thompson,55.7435,-97.8558,11.09,93,100,4.63,CA,1691511695
170,fale old settlement,-9.3852,-171.2468,28.41,69,67,6.18,TK,1691511695
171,kenitra,34.261,-6.5802,26.42,67,34,5.74,MA,1691511471
172,hermanus,-34.4187,19.2345,14.89,73,51,5.65,ZA,1691511695
173,colonia,50.9333,6.95,20.54,59,75,7.2,DE,1691511696
174,ngorongoro,-3.2397,35.4875,12.23,78,87,2.71,TZ,1691511696
175,eaglehawk,-36.7333,144.25,3.53,50,1,1.59,AU,1691511696
176,vila franca do campo,37.7167,-25.4333,24.23,59,5,1.93,PT,1691511696
177,ujae,8.9322,165.7642,27.87,81,93,6.15,MH,1691511697
178,kailua-kona,19.6406,-155.9956,25.98,87,40,2.57,US,1691511697
179,kamiiso,41.8167,140.65,22.97,97,100,2.0,JP,1691511697
180,ibotirama,-12.1853,-43.2206,35.95,24,2,1.28,BR,1691511677
181,punta arenas,-53.15,-70.9167,2.5,75,99,0.9,CL,1691511486
182,kodiak,57.79,-152.4072,10.73,93,75,1.54,US,1691511677
183,saipan,15.1355,145.701,27.39,100,40,2.57,MP,1691511698
184,waverly,42.7392,-84.6208,27.09,59,0,4.12,US,1691511698
185,caracal,44.1167,24.35,25.64,29,39,4.94,RO,1691511698
186,longyearbyen,78.2186,15.6401,11.91,54,20,7.72,SJ,1691511698
187,acarau,-2.8856,-40.12,31.39,55,23,8.25,BR,1691511698
188,alice springs,-23.7,133.8833,7.75,66,1,0.0,AU,1691511699
